Stench,"When the Pokémon hits with a move, roll a d10. On a 10, the target Flinches."
Drizzle,"The Pokémon summons rainy weather when entering battle. Once per Downtime, it may manually summon rainy weather using an action."
Speed Boost,The Pokémon's Speed is boosted by 1 stage at the end of each round.
Battle Armor,"When a foe scores a critical hit, this Pokémon is immune to extra damage dealt by critical hits."
Sturdy,"Once per Downtime, when the Pokémon falls to or below 0 HP, it can instead choose to fall to 1 HP."
Damp,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct. Additionally, Fire type moves against this Pokémon reduce their damage by 1 damage die."
Limber,The Pokémon's limber body prevents it from being paralyzed.
Sand Veil,All attacks made against this Pokémon have a -5 penalty to hit while in a sandstorm.
Static,"The Pokémon is charged with static electricity. Upon being hit by a move that makes contact, roll a d10. On a 8-10, the attacker is paralyzed."
Volt Absorb,"If hit by an Electric-type move, the Pokémon restores 2dX HP instead of taking damage, where X is dependent on the Pokémon's HP class."
Water Absorb,"If hit by a Water-type move, the Pokémon restores 2dX HP instead of taking damage, where X is dependent on the Pokémon's HP class."
Oblivious,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
Cloud Nine,The effects of weather are nullified as long as this Pokémon is on field.
Compound Eyes,"The Pokémon cannot be blinded, it has a +5 modifier to skill checks using sight."
Insomnia,"The Pokémon's insomnia prevents it from falling unwillingly asleep, and moves that need it to be asleep fail."
Color Change,"When the Pokémon is hit by a move, its typing changes to the type of move it was damaged by."
Immunity,"The Pokémon's immune system prevents it from being poisoned, and it's resistant to Poison damage regardless of typing."
Flash Fire,"If hit by a Fire-type move, this Pokémon absorbs the flames, and its Fire-type moves gain an additional damage die for 1 minute."
Shield Dust,"Protective dust shields the Pokémon from the additional effects of moves, and other powder moves are nullified."
Own Tempo,"The Pokémon sticks to its own tempo, preventing it from becoming confused, being affected by Intimidate, or frightened."
Suction Cups,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
Intimidate,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering the Attack of all foes by 1 stage, and they must make a Composure check vs. this Pokémon's Intimidate check. On a failed check, foes are Frightened and must move away from this Pokémon as far as they can and can't willingly move toward it, having to repeat the check at the end of each turn to no longer be frightened."
Shadow Tag,The Pokémon steps on the opposing Pokémon's shadows to prevent them from switching out or moving outside of a 30 foot radius of the Pokémon.
Rough Skin,"The Pokémon's rough skin damages attackers that make direct contact with it, dealing 2dX damage to the attacker, where X is dependent on the attacker's HP class."
Wonder Guard,Its mysterious power only lets super effective moves hit the Pokémon.
Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves, and it has a hovering speed equal to its walking speed."
Effect Spore,"When a foe makes contact with the Pokémon, roll a d10. On a 9-10, roll a d4. On a 1, the foe is poisoned, put to sleep on a 2, paralyzed on a 3, and the dice is rerolled on a 4."
Synchronize,"If the Pokémon is burned, frostbitten, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition."
Clear Body,Prevents other Pokémon's moves or abilities from lowering the Pokémon's stats.
Natural Cure,The Pokémon's status conditions are cured when it switches out.
Lightning Rod,"The Pokémon draws in all Electric-type moves used within a 20ft radius of itself. Instead of taking damage from them, its Sp. Atk stat is boosted by 1 stage."
Serene Grace,The range of activating additional effects of moves increases by 1 (ex. The move Bite can cause a Flinch on a 9 or 10 instead of only a 10).
Swift Swim,Doubles the Pokémon's Speed stat and movement speeds in rain.
Chlorophyll,Doubles the Pokémon's Speed stat and movement speeds in harsh sunlight.
Illuminate,"Raises the likelihood of meeting wild Pokémon while roaming, can illuminate dark areas, and all Pokémon within 15ft of this Pokémon have a -1 penalty to their ACs."
Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability of its choice."
Huge Power,Doubles the Pokémon's damage modifier when it uses a move that uses its Attack stat.
Poison Point,"When a foe makes contact with the Pokémon, roll a d10. On an 8-9, the attacker is poisoned, and on a 10, it is badly poisoned."
Inner Focus,"The Pokémon's intense focus prevents it from flinching or being affected by Intimidate, and its moves have a +2 bonus to hit."
Magma Armor,The Pokémon's hot magma coating prevents it from being frostbitten or having its movement speed lowered.
Water Veil,The Pokémon's water veil prevents it from being burned or having its Attack reduced.
Magnet Pull,Prevents Steel-type Pokémon from fleeing or moving outside of a 30 foot radius of the Pokémon by pulling them in with magnetism.
Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.
Rain Dish,"The Pokémon regains 2dX HP at the end of each turn while in rain, where X is dependent on the Pokémon's HP class."
Sand Stream,"The Pokémon summons a sandstorm when it enters a battle. Once per Downtime, it may manually summon a sandstorm using an action."
Pressure,"Puts other Pokémon under pressure, and any time another Pokémon uses a move, its PP usage is doubled, and other Pokémon have a -2 penalty to attack rolls made against this Pokémon."
Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves, and it can't be burned or frostbitten."
Early Bird,"The Pokémon awakens from sleep after one turn when forcibly put to sleep. Whenever the Pokémon wakes up from being asleep, it can instantly move 30ft in any direction."
Flame Body,"When a foe makes contact with the Pokémon, roll a d10. On an 8-10, the attacker is burned. All of the Pokémon's effects that have a chance to burn have their range increased by 1 (ex. a 10 on a d10 to burn becomes a 9-10 on a d10 to burn)."
Run Away,"The Pokémon cannot be targeted by attacks of opportunity, and moves, abilities and difficult terrain cannot hinder its movement."
Keen Eye,"The Pokémon's keen eyes prevent its accuracy from being lowered, and it has advantage on all sight based checks."
Hyper Cutter,"The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat, and its slicing moves ignore resistances and immunities to always hit neutrally."
Pickup,"For each hour spent traveling with the Pokémon in the field, roll a d100. The Pokémon may pick up an item depending on the result of the roll."
Truant,"Each time the Pokémon uses a move, it skips its next turn."
Hustle,Boosts the Pokémon's damage of moves by +10 but all moves are -5 to attack rolls.
Cute Charm,"When a foe makes contact with the Pokémon, roll a d10. On an 8-10, the attacker is infatuated and immediately has its Attack and Sp. Attack reduced by 1 stage each."
Plus,Boosts all of the Pokémon's stat modifiers by +2 if an ally with the Plus or Minus Ability is also in battle.
Minus,Boosts all of the Pokémon's stat modifiers by +2 if an ally with the Plus or Minus Ability is also in battle.
Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice."
Sticky Hold,"The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon, and it cannot be forcibly moved from where it is on the field."
Shed Skin,"If the Pokémon is afflicted with a status condition, roll a d6 at the end of each of its turns. On a 5 or 6, it is cured of the status condition, and it cannot be afflicted by status conditions for 2 turns."
Guts,"It's so gutsy that having a status condition boosts the damage of all the Pokémon's Physical moves by an additional damage die, and it ignores the effects of Burn on its attack stat."
Marvel Scale,The Pokémon's marvelous scales boost its Defense modifier by +3 if it has a status condition.
Liquid Ooze,The strong stench of the Pokémon's oozed liquid damages attackers for the same amount of HP that using HP-draining moves would heal instead of healing them.
Overgrow,Gains an additional damage die for Grass-type moves when the Pokémon's HP is below 1/3 of its max.
Blaze,Gains an additional damage die forFire-type moves when the Pokémon's HP is below 1/3 of its max.
Torrent,Gains an additional damage die for Water-type moves when the Pokémon's HP is below 1/3 of its max.
Swarm,Gains an additional damage die for Bug-type moves when the Pokémon's HP is below 1/3 of its max.
Rock Head,The Pokémon isn't damaged by its own moves or by recoil.
Drought,"Turns the sunlight harsh when the Pokémon enters a battle. Once per Downtime, it may manually summon harsh sunlight using an action."
Arena Trap,The Pokémon traps all foes in the battlefield to prevent them from switching out or moving outside of a 30 foot radius of the Pokémon.
Vital Spirit,"The Pokémon is full of vitality, and that prevents it and its allies from being forcibly put to sleep. Any time the Pokémon would be put to sleep, it gains +1 stage to a random stat."
White Smoke,The Pokémon produces a white smoke in a 15 foot radius around itself. Those in the smoke are protected from others lowering their stats while in the smoke.
Pure Power,Doubles the Pokémon's damage modifier when it uses a move that uses Special Attack.
Shell Armor,"When a foe scores a critical hit, this Pokémon is immune to extra damage dealt by critical hits."
Air Lock,Eliminates the effects of weather while in battle.
Tangled Feet,"If the Pokémon is confused, it doubles its movement speeds and attack rolls made against it are -5 to hit."
Motor Drive,"If hit by an Electric-type move, this Pokémon absorbs the sparks, and it increases its movement speeds by 10 feet and its Speed stat by 1 stage."
Rivalry,"The Pokémon's competitive spirit makes it deal an additional die of damage to Pokémon of the same gender, but 1 less die of damage to Pokémon of the opposite gender."
Steadfast,"The Pokémon's determination boosts its Speed by 1 stage every time it flinches. Whenever the Pokémon flinches, if an attack causes it, the Pokémon can deal half of the damage dealt to it back to the attacker."
Snow Cloak,Attacks made against the Pokémon have a -5 penalty to hit while in snow.
Gluttony,"If the Pokémon has a berry held, it can eat it as a reaction upon receiving a status condition or taking damage. If the Pokémon would be knocked to or below 0 HP, it can consume a healing berry to prevent that, being dealt the excess damage after healing."
Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack to +6 stages."
Unburden,"Boosts the Speed by 1 stage if the Pokémon's held item is used or lost, or if it throws or uses an item."
Heatproof,"The Pokémon's heatproof body halves damage taken from Fire-type moves, and it is unable to be burned."
Simple,Doubles the effects of the Pokémon's stat changes.
Dry Skin,"Restores 2dX HP in rain or when it is hit by Water-type moves. Takes 2dX damage in harsh sunlight, and doubles the damage received from Fire-type moves, where X in both cases is dependent on the Pokémon's HP class."
Download,The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk by 1 stage — whichever will be more effective.
Iron Fist,Punching moves deal an additional die of damage and ignore half of the target's damage reduction.
Poison Heal,"If poisoned, the Pokémon restores 2dX HP at the end of each turn instead of taking damage, where X is dependent on the Pokémon's HP class."
Adaptability,Moves that are the same type as the Pokémon deal an additional die of damage.
Skill Link,Maximizes the number of times multistrike moves hit.
Hydration,"Cures the Pokémon's status conditions at the end of its turn in rain, and it cannot have its movement speeds reduced in rain."
Solar Power,"In harsh sunlight, the Pokémon's Special Attacks deal an additional die of damage, but takes 2d12 damage (minimum of 12) at the end of each of its turns."
Quick Feet,Increases the Pokémon's movement speeds by 10 feet and raises its Speed modifier by +2 if the Pokémon has a status condition.
Normalize,"All the Pokémon's moves become Normal type. The damage of Normal type moves increases by two damage dice, and they can hit Ghost type Pokémon."
Sniper,"If the Pokémon's attack lands a critical hit, the damage is tripled instead of doubled."
Magic Guard,The Pokémon only takes damage from attacks.
No Guard,"The Pokémon employs no-guard tactics to ensure its moves always hit, but so do foe's moves."
Stall,"The Pokémon is always the last in initiative order, regardless of its Speed, but it takes half damage from all moves."
Technician,"Moves that deal less than 2d12 damage are powered up to deal 2d12 damage - multihit moves are powered up to the next damage die (1d6 to 1d8, etc)."
Leaf Guard,Prevents status conditions in harsh sunlight or while in Grassy Terrain.
Klutz,"The Pokémon can't use or be forced to hold any held items, and all moves used against the Pokémon have a -3 penalty to hit."
Mold Breaker,The Pokémon's moves ignore any abilities the target has.
Super Luck,The Pokémon is so lucky that the critical hit range is increased by 2.
